261564_at,At1g01720,297.3 ,P,311.9 ,P,507.8 ,P,624.1 ,P,2630.8 ,P,2365.1 ,P,2534.8 ,P,"ANAC002, ATAF1 (Arabidopsis NAC domain containing protein 2); negatively regulates the expression of stress responsive genes under drought stress in Arabidopsis"
261562_at,At1g01750,3.5 ,A,41.7 ,A,8.2 ,A,2.5 ,A,3.9 ,A,459.9 ,P,1102.3 ,P,ACTIN DEPOLYMERIZING FACTOR 11 (ADF11)
264148_at,At1g02220,33.6 ,A,27.7 ,A,13.8 ,A,45.2 ,M,29.0 ,A,95.9 ,P,75.4 ,P,ANAC003
262131_at,At1g02900,32.2 ,A,106.3 ,P,52.2 ,P,3.1 ,A,136.7 ,P,5166.5 ,P,2671.7 ,P,Rapid Alkalinization Factor (RALF)-LIKE 1 (RALFL1)
265038_at,At1g03920,20.3 ,A,65.7 ,P,19.4 ,A,59.6 ,A,46.6 ,A,1193.9 ,P,830.3 ,P,similar to protein kinase family protein
264577_at,At1g05260,31.7 ,A,28.2 ,A,20.8 ,A,25.4 ,A,32.1 ,A,63.9 ,M,215.2 ,P,"RARE COLD INDUCIBLE GENE 3 (RCI3); (RCI3A); Encodes a cold-inducible cationic peroxidase that is involved in the stress response. In response to low temperature, RCI3 transcripts accumulate in the aerial part and in roots of etiolated seedlings but only in roots of light-grown seedlings."
262619_at,At1g06550,428.5 ,P,242.6 ,P,249.6 ,P,451.8 ,P,277.5 ,P,4272.9 ,P,3003.7 ,P,similar to CHY1 (BETA-HYDROXYISOBUTYRYL-COA HYDROLASE 1)
264263_at,At1g09155,2.7 ,A,10.3 ,A,10.1 ,A,2.4 ,A,1.3 ,A,444.3 ,P,191.2 ,P,ATPP2-B15 (Phloem protein 2-B15); carbohydrate binding; F-box protein 
262477_at,At1g11220,8.1 ,A,41.4 ,A,18.3 ,A,11.2 ,A,62.5 ,A,134.7 ,A,118.7 ,P,unknown function DUF761; similar to cotton fiber expressed protein 1
260776_at,At1g14580,385.5 ,P,316.7 ,P,116.6 ,P,88.9 ,A,393.4 ,P,833.7 ,P,474.4 ,P,", zinc finger protein, putative similar to zinc finger protein ID1 GB:AAC18941 GI:3170601 from [Zea mays] "
262701_at,At1g16480,48.5 ,A,89.1 ,A,39.8 ,A,25.3 ,A,97.3 ,A,239.2 ,P,122.8 ,P,pseudogene of pentatricopeptide (PPR) repeat-containing protein 
262715_at,At1g16490,63.3 ,P,56.3 ,P,46.5 ,A,31.3 ,A,95.5 ,M,74.9 ,P,137.4 ,P,AtMYB58 lignin biosynthesis by Ye
262528_at,At1g17260,35.1 ,P,48.0 ,P,44.4 ,P,40.7 ,A,64.2 ,P,139.7 ,P,150.3 ,P,"Autoinhibited H(+)-ATPase isoform 10 (AHA10), involved in proanthocyanidin biosynthesis, disturbs the vacuolar biogenesis and acidification process "
255903_at,At1g17950,4.2 ,A,4.8 ,A,1.4 ,A,23.9 ,A,3.6 ,A,2.1 ,A,181.1 ,P,AtMYB52 Ye
255893_at,At1g17960,22.1 ,A,25.2 ,A,16.7 ,A,2.1 ,A,22.3 ,A,56.0 ,A,116.1 ,P,similar to threonyl-tRNA synthetase
261717_at,At1g18400,49.1 ,P,277.8 ,P,49.4 ,P,42.4 ,P,154.6 ,P,109.3 ,P,150.9 ,P,", helix-loop-helix protein homolog, putative similar to helix-loop-helix protein homolog GB:BAA87957 GI:6520231 from [Arabidopsis thaliana] "
256038_at,At1g19170,346.2 ,P,346.0 ,P,171.6 ,P,193.9 ,P,408.9 ,P,1930.2 ,P,959.1 ,P,"Glycoside Hydrolase Family28, polygalacturonase (pectinase) "
261139_at,At1g19700,298.4 ,P,180.7 ,P,217.0 ,P,297.9 ,P,162.0 ,P,896.8 ,P,606.7 ,P,"HBHB, homeodomain protein, putative similar to homeodomain protein GI:7239157 from (Malus domestica) "
260919_at,At1g21520,53.0 ,A,70.2 ,A,151.8 ,P,121.7 ,P,56.1 ,A,100.3 ,M,500.6 ,P,unknown protein
260921_at,At1g21540,86.1 ,A,198.6 ,P,108.7 ,A,52.8 ,A,219.4 ,P,837.6 ,P,556.7 ,P,AMP-binding protein
263028_at,At1g24030,15.6 ,A,47.7 ,A,31.9 ,A,42.0 ,A,63.4 ,A,52.7 ,A,169.5 ,P,protein kinase family protein;
261266_at,At1g26770,514.8 ,P,296.3 ,P,293.3 ,P,1107.8 ,P,411.8 ,P,2569.9 ,P,3972.8 ,P,"At-EXP10, expansin family protein; Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana. "
264493_at,At1g27440,175.2 ,P,216.6 ,P,171.7 ,P,200.3 ,P,172.9 ,P,504.4 ,P,478.8 ,P,AtGUT2; secondary cell wall-related glycosyltransferase family 47 
262740_at,At1g28590,8.5 ,A,4.2 ,A,16.7 ,A,28.4 ,A,8.9 ,A,365.4 ,P,215.2 ,P,similar to lipase
260886_at,At1g29200,44.5 ,A,60.7 ,A,19.8 ,A,9.2 ,A,58.7 ,A,12.4 ,A,278.9 ,P,unknown function DUF246
260885_at,At1g29230,47.0 ,P,79.8 ,P,14.0 ,A,68.7 ,P,89.5 ,P,689.1 ,P,424.7 ,P,CBL-INTERACTING PROTEIN KINASE 18 (CIPK18); SNF1-RELATED PROTEIN KINASE 3.20 (SnRK3.20)
265161_at,At1g30900,118.8 ,A,175.3 ,P,297.3 ,P,247.8 ,P,127.5 ,M,757.9 ,P,1009.5 ,P,Vacuolar-sorting receptor 6 (VSR6) ; 
265103_at,At1g31070,132.1 ,P,158.1 ,P,110.8 ,P,146.0 ,P,118.5 ,P,981.7 ,P,1079.5 ,P,"UDP-N-acetylglucosamine pyrophosphorylase-related; similar to UTP--glucose-1-phosphate uridylyltransferase family protein; UDP-N-acetylgalactosamine biosynthetic process, metabolic process, nucleotidyltransferase activity, peptidoglycan biosynthetic process   "
261999_at,At1g33800,94.2 ,P,90.8 ,P,67.9 ,P,98.1 ,P,86.0 ,P,1995.1 ,P,1376.2 ,P,unknown function DUF579
245783_s_at,At1g35180,575.4 ,P,317.4 ,P,301.0 ,P,563.9 ,P,272.5 ,P,2724.1 ,P,2444.6 ,P,unknown protein
260941_at,At1g44970,34.1 ,A,73.0 ,A,32.7 ,A,27.3 ,A,44.2 ,A,76.0 ,P,148.7 ,P,Identical to Peroxidase 9 precursor  (PER9)
262444_at,At1g47480,37.1 ,A,32.3 ,A,28.4 ,A,31.7 ,A,72.6 ,A,161.0 ,P,245.4 ,P,similar to CXE carboxylesterase
262393_at,At1g49490,11.1 ,A,5.4 ,A,22.6 ,A,40.7 ,A,34.9 ,A,140.2 ,P,83.5 ,P,",hypothetical protein contains similarity to disease resistance protein GI:3894383 from [Lycopersicon esculentum]"
260643_at,At1g53270,20.9 ,A,13.8 ,A,28.4 ,A,12.6 ,A,10.7 ,A,104.8 ,P,143.4 ,A,"ATWBC10, ABC transporter family protein ATPase activity, coupled to transmembrane movement of substances "
263157_at,At1g54100,1268.3 ,P,892.3 ,P,1407.3 ,P,1205.8 ,P,1755.4 ,P,7114.7 ,P,5719.9 ,P,similar to aldehyde dehydrogenase homolog 
256150_at,At1g55120,129.5 ,P,199.1 ,P,80.0 ,P,108.4 ,P,244.3 ,P,386.7 ,P,518.8 ,P,"Glycoside Hydrolase Family32, Encodes a protein with fructan exohydrolase (FEH) activity acting on levan-type fructans (6-FEH, levanase). The enzyme does not have invertase activity. sucrose catabolic process, using beta-fructofuranosidase"
262096_at,At1g56010,130.9 ,A,58.0 ,A,42.4 ,A,70.7 ,A,142.5 ,A,252.7 ,P,98.8 ,M,"NACNAC,NAC1 identical to NAC1 GB:AAF21437 GI:6649236 from [Arabidopsis thaliana];supported by full-length cDNA: Ceres:205648."
245628_at,At1g56650,63.1 ,M,57.0 ,A,28.6 ,A,61.9 ,A,54.0 ,A,79.1 ,P,278.4 ,P,"AtMYB75/PAP1, PRODUCTION OF ANTHOCYANIN PIGMENT 1 (PAP1); SUC-INDUCED ANTHOCYANIN ACCUMULATION 1 (SIAA1); involved in anthocyanin metabolism and radical scavenging. Essential for the sucrose-mediated expression of the dihydroflavonol reductase gene. "
245842_at,At1g58430,3.3 ,A,33.4 ,A,7.8 ,A,16.1 ,A,2.8 ,A,390.4 ,P,149.0 ,P,anther-specific proline-rich protein
264916_at,At1g60810,365.3 ,P,416.1 ,P,351.1 ,P,497.8 ,P,304.3 ,P,2080.7 ,P,2132.8 ,P,"ATP CITRATE LYASE SUBUNIT A 2 (ACLA-2), One of the three genes encoding subunit A of the trimeric enzyme ATP Citrate lyase; synthesize acetyl-CoA"
264433_at,At1g61810,8.9 ,A,6.1 ,A,8.1 ,A,25.4 ,P,33.6 ,P,337.5 ,P,1377.3 ,P,"Glycoside Hydrolase Family1, BGLU45"
